id,venue,lat,lon,neighborhood
241,Quantum Counseling Services,40.692699,-80.105698,
242,Moon Township Public Library,40.475914,-80.174187,
243,Wooden Nickel,40.437237,-79.772346,
244,Quantum Counseling Services,40.692699,-80.105698,
245,Panera Bread,40.632431,-80.05883,
246,South Hills Village Mall ,40.343731,-80.056847,
247,Bicycle Heaven Museum,40.45633,-80.03202,Elliott
248,Enlightened Healing Energy,40.372467,-80.033928,
249,Sacred Heart Parish,40.456097,-79.923271,Shadyside
250,Carnegie Library of Pittsburgh - Homewood Branch,40.455284,-79.899214,Point Breeze
251,Magee-Womens Hospital of UPMC Suite 2131,40.437542,-79.960396,
252,Pittsburgh Dance Center,40.461189,-79.947533,Upper Hill
253,Pittsburgh Dance Center,40.461079,-79.947922,Upper Hill
254,Sri Yantra Yoga LLC,40.250741,-80.208757,
255,Carnegie Library of Pittsburgh,40.443508,-79.949593,Central Oakland
256,Bigham Tavern,40.432457,-80.01503,Duquesne Heights
257,Crazy Mocha Coffee Company,40.456524,-79.93026,Shadyside
258,The Hollywood Theater in Dormont,40.396042,-80.035027,
259,TurnOn Pittsburgh,40.45903,-79.923882,Shadyside
260,Allegheny Center Alliance Church,40.453106,-80.003494,Allegheny West
261,Mt Lebanon Tennis Center,40.374264,-80.057274,
262,Future Tenant,40.443642,-79.998665,Central Business District
263,CAVO Pittsburgh ,40.451527,-79.98497,Strip District
264,Pittsburgh Athletic Association,40.444721,-79.954376,West Oakland
265,Wilkins School Community Center,40.430318,-79.893478,Swisshelm Park
266,The Pump House,40.409203,-79.895813,
267,Springdale United Presbyterian,40.541355,-79.778358,
268,Panera Bread,40.357609,-80.050369,
269,SouthSide Riverfront Park Entrance,40.431889,-79.980301,South Side Flats
270,Footprints Farm,39.7210001,-79.6093279,
271,Carnegie Library Main (Oakland),40.444139,-79.949267,Central Oakland
272,Crazy Mocha,40.433531,-79.923204,Greenfield
273,Schenley Oval Sportsplex,40.431979,-79.94216,Greenfield
274,Andrew Bayne Memorial Library,40.496571,-80.054886,
275,Market District Express,40.30378,-80.09745,
276,First Floor Posvar Hall,40.440609,-79.953972,South Oakland
277,Skibo Gymnasium,40.441753,-79.941574,Central Oakland
278,Lucky Paws,40.685226,-80.164513,
279,Dove of Light Healing Ministry,40.154251,-79.794983,
280,The Hardware Store - Where media professionals startups and nonprofits collaborate,40.421764,-79.99408,Beltzhoover
281,Panera Bread,40.395706,-80.066353,
282,The Hardware Store - Where media professionals startups and nonprofits collaborate,40.421764,-79.99408,Beltzhoover
283,Yoga Digs ,40.428734,-79.986038,Allentown
284,Bellefield Auditorium ,40.445962,-79.951683,West Oakland
285,Forbes Tower,40.440445,-79.95755,South Oakland
286,Bellefield Auditorium ,40.445962,-79.951683,West Oakland
287,kettlebell fusion fitness,40.446079,-79.763725,
288,Wilkins School Community Center,40.430318,-79.893478,Swisshelm Park
289,Panera Bread,40.436008,-79.958076,
290,Carnegie Library of Pittsburgh - Downtown and Business Branch,40.44175,-79.99752,
291,Carnegie Library of Pittsburgh - Homewood Branch,40.455284,-79.899214,Point Breeze
292,Panera Bread,40.456142,-79.937492,Shadyside
293,Carnegie Library of Pittsburgh - Squirrel Hill Branch,40.438213,-79.922653,Squirrel Hill South
294,Carnegie Museum of Art,40.444139,-79.949267,Central Oakland
295,Laird Hall,40.428642,-79.694237,
296,Harris Theater,40.442795,-79.998558,
297,Ali Baba,40.445094,-79.948789,Central Oakland
298,Saint Anthony s Chapel,40.464668,-79.983673,Spring Garden
299,Colleen s House,40.377941,-80.02829,
300,Saint Anthony s Chapel,40.464668,-79.983673,Spring Garden
301,Saint Anthony Chapel,40.464752,-79.983643,Spring Garden
302,Saint Anthony s Chapel,40.464668,-79.983673,Spring Garden
303,Saint Anthony Chapel,40.464752,-79.983643,Spring Garden
304,Willow Restaurant and Lounge,40.521193,-80.076578,
305,First Unitarian Church of Pittsburgh in Shadyside,40.450916,-79.943053,North Oakland
306,First Unitarian Church of Pittsburgh in Shadyside,40.450916,-79.943053,North Oakland
307,latitude 360,40.446178,-80.177849,
308,Panera Bread ,40.455936,-79.937172,Shadyside
309,Carnegie Mellon University-McConomy Auditorium,40.443504,-79.941574,Central Oakland
310,Harris Theater,40.442795,-79.998558,
311,Byham Theater,40.443848,-80.002548,
312,The Church Brew Works,40.46244,-79.964394,Strip District
313,31 RPMs Sports Bar - Grille,40.366302,-80.106628,
314,Eclipse Lounge,40.466454,-79.964691,Strip District
315,Cruze Bar,40.449604,-79.987617,Central Business District
316,Eliza Furnace Trail Parking Lot,40.4261,-79.953394,South Side Slopes
317,Raccoon Creek State Park,40.506271,-80.390106,
318,Carnegie Science Center,40.452234,-80.00345,North Shore
319,TurnOn Pittsburgh,40.45903,-79.923882,Shadyside
320,Paneras Bread Waterworks Mall,40.48912,-79.89257,
321,Dobra Tea,40.434963,-79.922806,Squirrel Hill South
322,Pittsburgh Friends Meeting House,40.449139,-79.945808,North Oakland
323,Hofbrauhaus Pittsburgh,40.428661,-79.964912,South Side Slopes
324,Cheesecake Factory,40.427914,-79.965233,South Side Slopes
325,Crazy Mocha,40.630177,-80.057175,
326,Enlightened Healing Energy,40.372467,-80.033928,
327,Wilkins School Community Center,40.430318,-79.893478,Swisshelm Park
328,Perle,40.441086,-80.002876,South Shore
329,Soergel Orchards,40.615013,-80.092499,
330,Animal Friends,40.522213,-80.077316,
331,Shape Training,40.45863,-79.931137,Shadyside
332,Carnegie Library Squirrel Hill,40.438137,-79.922536,Squirrel Hill South
333,Crazy Mocha - (412) 521-1056,40.432976,-79.917404,Squirrel Hill South
334,Level 20 Lounge,40.336735,-80.023605,
335,Palate Partners School of Wines and Spirits,40.461971,-79.965454,Strip District
336,Carnegie Library of Pittsburgh - Main,40.443424,-79.948845,Central Oakland
337,Carnegie Library Squirrel Hill,40.438137,-79.922536,Squirrel Hill South
338,Saint Stephen Catholic Church,40.406368,-79.942749,
339,Schenley Park,40.439304,-79.946434,South Oakland
340,Carnegie Library Squirrel Hill,40.438137,-79.922536,Squirrel Hill South
341,Josh and Becky s House,40.377327,-79.967606,
342,Carnegie Mellon University-McConomy Auditorium,40.443504,-79.941574,Central Oakland
343,Razzy Fresh,40.445651,-79.949497,Central Oakland
344,Absolute Ballroom Dancing,40.457782,-79.909891,Point Breeze
345,Panera Bread,40.456512,-79.915154,Squirrel Hill North
346,Regent Square Theater,40.433416,-79.894225,Squirrel Hill South
347,Zeke s Coffee,40.461357,-79.924568,Shadyside
348, CCAC Boyce Campus,40.452187,-79.75291,
349,Birmingham Bridge Tavern,40.424572,-79.964493,South Side Slopes
350,Cheesecake Factory,40.427914,-79.965233,South Side Slopes
351,Temple Baptist Church,40.408634,-79.99115,Bon Air
352,Cannon Coffee,40.393463,-80.020142,
353,Kresge Theater,40.443504,-79.941574,Central Oakland
354,Olive or Twist,40.4432,-80.00244,
355,Olive or Twist,40.4432,-80.00244,
356,Olive or Twist,40.4432,-80.00244,
357,Pittsburgh Playwrights Theatre Company,40.443378,-79.996666,Central Business District
358,CRAFTON - INGRAM LANES,40.435069,-80.066166,
359,Snapology,40.349045,-80.05175,
360,Bonnie and Clyde s,40.632542,-80.058952,
361,Squirrel Hill Library,40.438122,-79.922546,Squirrel Hill South
362,The White Rabbit Cafe and Patisserie,40.303905,-79.544739,
363,LunaMetrics,40.431194,-79.980644,South Side Slopes
364,AlphaLab Gear,40.46228,-79.923996,Shadyside
365,Andrew Carnegie Free Library and Music Hall,40.406994,-80.085823,
366,Panera Bread - Bakery Square,40.456543,-79.915108,Squirrel Hill North
367,Benedum Center For the Performing Arts,40.44261,-79.99923,
368,En Garde Fencing Club ,40.496241,-79.94392,
369,The old Newtown Grill now Teca,40.542133,-80.206337,
370,Social,40.470001,-79.949997,Lower Lawrenceville
371,Carnegie Mellon University-McConomy Auditorium,40.443504,-79.941574,Central Oakland
372,Eat-N-Park,40.448605,-80.16214,
373,Chatham University Eddy Theater,40.447242,-79.923445,Squirrel Hill North
374,En Garde Fencing Club ,40.496241,-79.94392,
375,King s Family Restaurant,40.539986,-79.830399,
376,The Livermore,40.460354,-79.925323,Shadyside
377,First Unitarian Church of Pittsburgh in Shadyside,40.450916,-79.943053,North Oakland
378,TurnOn Pittsburgh,40.45903,-79.923882,Shadyside
379,Steel Cactus,40.428696,-79.979332,South Side Slopes
380,Bethel Park Library,40.332137,-80.031073,
381,William Pitt Union Dining Room A,40.444271,-79.953293,West Oakland
382,Just Harvest A Center For Action Against Hunger,40.430126,-79.99675,Mount Washington
383,Temple Baptist Church,40.408634,-79.99115,Bon Air
384,Allegheny Wine Mixer Inc,40.482544,-79.951599,Central Lawrenceville
385,social,40.45705,-79.915756,Shadyside
386,Hollywood Gardens,40.701012,-80.282425,
387,Crazy Mocha - (412) 521-1056,40.432976,-79.917404,Squirrel Hill South
388,Panera,40.436432,-79.958084,
389,shaler public library,40.52829,-79.964287,
390,Magee-Womens Hospital Conference Rooms A and B Level Zero,40.437542,-79.960396,
391,Hofbrauhaus Pittsburgh,40.423227,-79.957462,South Side Slopes
392,Quantum Counseling Services,40.692699,-80.105698,
393,The Getaway Cafe,40.384632,-80.015648,
394,Crazy Mocha,40.45672,-79.929955,Shadyside
395,Carnegie Lbry-Pittsburgh-Homewood,40.455009,-79.899277,Point Breeze
396,Carnegie Lbry-Pittsburgh-Homewood,40.455009,-79.899277,Point Breeze
397,Carnegie Library of Pittsburgh - Homewood Branch,40.455284,-79.899214,Point Breeze
398,Doubletree Hotel,40.509119,-80.224573,
399,Vincent s of Greentree,40.421661,-80.049942,
400,Mount Lebanon Public Library,40.377195,-80.045384,
401,Getaway Cafe,40.384331,-80.015935,
402,Lot 17,40.46257,-79.950127,Upper Hill
403,Wilkins School Community Center,40.430318,-79.893478,Swisshelm Park
404,Pleasant Hills Public Library,40.3337197,-79.9620175,
405,Rock Bottom Brewery and Restaurant,40.407738,-79.918668,Glen Hazel
406,Rock Bottom Brewery and Restaurant,40.407738,-79.918668,Glen Hazel
407,Rock Bottom Brewery and Restaurant,40.407738,-79.918668,Glen Hazel
408,Hack Pittsburgh,40.438244,-79.978737,
409,Playdate 4 kids,40.40349,-80.04072,
410,Max and Erma s ,40.394016,-80.062973,
411,Mt. Lebanon Public Library,40.37701,-80.045265,
412,Carnegie Library of Pittsburgh - Downtown and Business Branch,40.44175,-79.99752,
413,Carnegie Museum of Art and Natural History,40.444138,-79.949265,Central Oakland
414,Carnegie Museum of Art and Natural History,40.444138,-79.949265,Central Oakland
415,Olive or Twist,40.4432,-80.00244,
416,Olive or Twist,40.4432,-80.00244,
417,Olive Or Twist,40.443005,-80.002403,
418,Panera Bread,40.633533,-80.059784,
419,William Penn Tavern,40.451477,-79.934036,Squirrel Hill North
420,Roland s Seafood Grill,40.450714,-79.984444,Strip District
421,En Garde Fencing Club ,40.496241,-79.94392,
422,SPACE,40.442715,-79.99868,
423,Omnyx Office,40.447727,-79.992393,Central Business District
424,Pittsburgh Supercomputing Center,40.445522,-79.94915,Central Oakland
425,Schenley Oval Sportsplex,40.431979,-79.94216,Greenfield
426,Andrew Carnegie Free Library and Music Hall,40.407709,-80.085392,
427,Market District Supermarket,40.441742,-80.151283,
428,Riverview Community Action Corporation,40.51794,-79.84634,
429,StartUptown Paramount Film Exchange,40.437489,-79.9814,
430,Andrew Carnegie Free Library and Music Hall,40.406994,-80.085823,
431,Sparkledragon s Magical Emporium,40.404533,-80.033188,
432,Carnegie Mellon University-McConomy Auditorium,40.443504,-79.941574,Central Oakland
433,Youtopia dance studio,40.435703,-79.922905,Squirrel Hill South
434,IBM Squirrel Hill,40.437515,-79.92305,Squirrel Hill South
435,Soldiers And Sailors Memorial Hall,40.444065,-79.95536,West Oakland
436,Friends House,40.449139,-79.945808,North Oakland
437,Frick Fine Arts Auditorium,40.444595,-79.959839,Terrace Village
438,TechShop Pittsburgh,40.456963,-79.915718,Shadyside
439,Riverside Landings,40.515968,-79.848396,
440,TechShop Pittsburgh,40.456928,-79.915764,Shadyside
441,Harris Theater,40.442879,-79.998611,
442,Coffee Tree Roasters,40.451375,-79.932852,Squirrel Hill North
443,Kresge Theater,40.443504,-79.941574,Central Oakland
444,David L. Lawrence Convention Center,40.444309,-80.00206,
445,Northland Library ,40.571003,-80.034645,
446,Quantum Counseling Services,40.692699,-80.105698,
447,Moon Township Public Library,40.475914,-80.174187,
448,Just Harvest A Center For Action Against Hunger,40.430126,-79.99675,Mount Washington
449,Quantum Counseling Services,40.692699,-80.105698,
450,Volunteers of America,40.494747,-79.923813,Morningside
451,The Westin Convention Center Pittsburgh Hotel,40.444115,-79.995132,Central Business District
452,Church of the Resurrection,40.453789,-79.761253,
453,Market District Express,40.30378,-80.09745,
454,Shining Light Prenatal Education,40.466358,-79.96476,Strip District
455,Shining Light Prenatal Education,40.466358,-79.96476,Strip District
456,Carnegie Library of Pittsburgh - Homewood Branch,40.455284,-79.899214,Point Breeze
457,Benedum Center For the Performing Arts,40.44261,-79.99923,
458,Eat N Park ,40.517914,-80.219757,
459,Panera Bread,40.429352,-79.813049,
460,PPC Library,40.455322,-79.921288,Shadyside
461,Frick Fine Arts Auditorium,40.444595,-79.959839,Terrace Village
462,First Unitarian Church,40.450757,-79.943,North Oakland
463,Rumfish Grille ,40.369473,-80.10508,
464,Allegheny Center Alliance Church,40.453106,-80.003494,Allegheny West
465,Hollywood Theater,40.39618,-80.035239,
466,Cattivo,40.472509,-79.961687,Lower Lawrenceville
467,Stinky s Bar and Grill,40.477592,-79.957649,Central Lawrenceville
