"60610742,Pittsburgh,PA,40.43,-79.97"
"120052842,Indiana,PA,40.62,-79.16"
"48434802,Pittsburgh,PA,40.4,-80.04"
"7768539,Pittsburgh,PA,40.55,-80.04"
"1595992,Pittsburgh,PA,40.47,-79.95"
"6640239,Pittsburgh,PA,40.47,-80.02"
"10831907,Morgantown,WV,39.64,-79.95"
"2436038,Pittsburgh,PA,40.43,-79.97"
"161020932,Pittsburgh,PA,40.55,-80.04"
"13963951,Pittsburgh,PA,40.44,-79.96"
"9545201,Canonsburg,PA,40.27,-80.15"
"140119232,Cranberry Twp,PA,40.71,-80.11"
"9435928,Pittsburgh,PA,40.47,-79.95"
"12395765,Pittsburgh,PA,40.46,-79.9"
"58286922,Pittsburgh,PA,40.47,-79.95"
"188654100,New Kensington,PA,40.57,-79.75"
"55914422,Pittsburgh,PA,40.48,-79.75"
"1973072,Pittsburgh,PA,40.45,-79.98"
"149501842,Pittsburgh,PA,40.43,-79.95"
"58719802,Pittsburgh,PA,40.46,-80.03"
"109820152,Pittsburgh,PA,40.44,-79.95"
"141516392,Pittsburgh,PA,40.47,-79.92"
"12205308,Pittsburgh,PA,40.42,-79.98"
"49244852,Brussels,,50.83,4.33"
"190002171,Pittsburgh,PA,40.47,-79.96"
"13512735,Pittsburgh,PA,40.43,-80.05"
"63868822,Pittsburgh,PA,40.44,-79.95"
"9659081,Bethel Park,PA,40.32,-80.04"
"7390325,Pittsburgh,PA,40.47,-79.95"
"136595632,Pittsburgh,PA,40.44,-79.95"
"11715358,Pittsburgh,PA,40.44,-79.95"
"122414542,Pittsburgh,PA,40.43,-79.95"
"133373412,Pittsburgh,PA,40.5,-79.98"
"5177006,Gibsonia,PA,40.63,-79.95"
"51439282,Pittsburgh,PA,40.47,-79.95"
"183020698,Bradfordwoods,PA,40.64,-80.08"
"183583681,Pittsburgh,PA,40.45,-79.99"
"10282677,Bridgeville,PA,40.36,-80.11"
"191113285,Jeannette,PA,40.33,-79.61"
"3735594,Pittsburgh,PA,40.4,-80.04"
"81438722,Pittsburgh,PA,40.47,-79.95"
"106891862,Pittsburgh,PA,40.43,-80.05"
"80827912,Pittsburgh,PA,40.47,-79.95"
"105641672,Pittsburgh,PA,40.43,-79.95"
"92442612,Carnegie,PA,40.41,-80.09"
"189137760,Pittsburgh,PA,40.43,-79.95"
"186635478,Pittsburgh,PA,40.47,-79.92"
"13058454,Pittsburgh,PA,40.35,-79.98"
"162365942,Cranberry Twp,PA,40.71,-80.11"
"145860792,Finleyville,PA,40.26,-80.01"
"4760932,Pittsburgh,PA,40.45,-79.98"
"137716122,Pittsburgh,PA,40.47,-79.92"
"191434454,Irwin,PA,40.33,-79.72"
"190405194,Pittsburgh,PA,40.44,-79.95"
"187324757,Pittsburgh,PA,40.43,-79.92"
"130790282,Pittsburgh,PA,40.47,-79.95"
"6386356,Pittsburgh,PA,40.4,-79.97"
"184089306,Pittsburgh,PA,40.42,-79.98"
"55897132,Greensburg,PA,40.3,-79.54"
"141262332,Pittsburgh,PA,40.47,-79.95"
"12695221,Pittsburgh,PA,40.55,-80.04"
"109471382,Pittsburgh,PA,40.55,-80.04"
"83491002,Freedom,PA,40.68,-80.22"
"4267913,Pittsburgh,PA,40.38,-80.04"
"135270252,Pittsburgh,PA,40.45,-79.99"
"144975022,Coraopolis,PA,40.51,-80.21"
"68421572,Pittsburgh,PA,40.45,-79.99"
"152212932,Pittsburgh,PA,40.44,-79.95"
"74485712,Pittsburgh,PA,40.45,-79.99"
"148666852,Pittsburgh,PA,40.43,-79.92"
"190810221,Mars,PA,40.7,-80.07"
"190833984,Natrona Heights,PA,40.64,-79.72"
"41915032,Pittsburgh,PA,40.43,-79.89"
"189258393,Pittsburgh,PA,40.45,-79.99"
"188729176,Pittsburgh,PA,40.45,-79.99"
"184533746,Brooklyn,NY,40.7,-73.99"
"71559082,Butler,PA,40.86,-79.9"
"152298442,Greensburg,PA,40.3,-79.54"
"1754655,Butler,PA,40.86,-79.9"
"55712502,Pittsburgh,PA,40.43,-79.95"
"184009333,Pittsburgh,PA,40.47,-79.95"
"9287140,Bethel Park,PA,40.32,-80.04"
"106996062,Pittsburgh,PA,40.47,-79.95"
"120054602,Pittsburgh,PA,40.43,-79.92"
"187499371,Pittsburgh,PA,40.5,-79.91"
"190712658,California,PA,40.06,-79.89"
"9496944,Pittsburgh,PA,40.47,-80.02"
"90817332,Pittsburgh,PA,40.47,-79.95"
"99422482,Pittsburgh,PA,40.47,-79.95"
"87044142,Pittsburgh,PA,40.47,-79.95"
"96954282,Harrison City,PA,40.38,-79.65"
"12937388,Pittsburgh,PA,40.47,-79.95"
"115371482,Pittsburgh,PA,40.47,-79.95"
"47111662,Murrysville,PA,40.45,-79.68"
"7636650,Pittsburgh,PA,40.43,-79.92"
"97657032,Hickory,PA,40.29,-80.31"
"143454562,Pittsburgh,PA,40.43,-80.05"
"84337412,Pittsburgh,PA,40.47,-79.95"
"190665486,Pittsburgh,PA,40.44,-80.07"
"158935872,Mc Donald,PA,40.36,-80.23"
"133747152,Allison Park,PA,40.57,-79.97"
"49960812,Pittsburgh,PA,40.47,-79.95"
"92211742,Greensburg,PA,40.3,-79.54"
"112634502,Pittsburgh,PA,40.47,-79.95"
"8137255,Pittsburgh,PA,40.46,-80.03"
"187156982,Pittsburgh,PA,40.46,-80.03"
"184254558,Pittsburgh,PA,40.45,-79.99"
"182731013,Pittsburgh,PA,40.45,-79.99"
"104093572,Glenshaw,PA,40.52,-79.95"
"191751097,Pittsburgh,PA,40.47,-79.92"
"79731102,Pittsburgh,PA,40.47,-79.95"
"16923041,Venetia,PA,40.27,-80.06"
"181580562,Pittsburgh,PA,40.5,-80.07"
"39899032,Pittsburgh,PA,40.46,-79.9"
"14180373,Pittsburgh,PA,40.47,-79.95"
"191723835,Bethel Park,PA,40.32,-80.04"
"13776615,Pittsburgh,PA,40.43,-79.92"
"14253048,Pittsburgh,PA,40.38,-80.07"
"52545892,Pittsburgh,PA,40.44,-79.95"
"191658119,Pittsburgh,PA,40.47,-79.95"
"183952708,Pittsburgh,PA,40.47,-79.95"
"184245393,Pittsburgh,PA,40.45,-79.99"
"185826446,Pittsburgh,PA,40.43,-79.95"
"190022752,Pittsburgh,PA,40.45,-79.98"
"175995002,Ambridge,PA,40.58,-80.21"
"13118167,Pittsburgh,PA,40.45,-79.99"
"141233472,West Mifflin,PA,40.34,-79.96"
"187798460,Blairsville,PA,40.44,-79.25"
"13992020,Coraopolis,PA,40.51,-80.18"
"186021055,Curitiba,,-25.42,-49.29"
"187322418,Pittsburgh,PA,40.35,-79.98"
"191137981,New Eagle,PA,40.21,-79.95"
"31497642,Pittsburgh,PA,40.47,-79.95"
"187645202,Braddock,PA,40.41,-79.86"
"127043742,Pittsburgh,PA,40.47,-79.95"
"48189542,Kazan,,55.79,49.17"
"4216282,Pittsburgh,PA,40.45,-79.93"
"43917502,Pittsburgh,PA,40.45,-79.99"
"191156289,Pittsburgh,PA,40.55,-80.04"
"154126182,Pittsburgh,PA,40.55,-80.04"
"141202572,Pittsburgh,PA,40.48,-80.02"
"63634742,Pittsburgh,PA,40.52,-80.04"
"11258882,Pittsburgh,PA,40.4,-79.97"
"109905562,Pittsburgh,PA,40.43,-79.95"
"8491195,South Park,PA,40.3,-80"
"78623212,Pittsburgh,PA,40.47,-79.95"
"149968152,Pittsburgh,PA,40.43,-80.05"
"629443,Pittsburgh,PA,40.47,-79.95"
"136914502,Pittsburgh,PA,40.43,-79.92"
"55314132,Pittsburgh,PA,40.55,-80.04"
"77976052,Pittsburgh,PA,40.45,-79.91"
"182732493,Pittsburgh,PA,40.47,-79.95"
"176646382,Pittsburgh,PA,40.38,-80.04"
"190244209,Aliquippa,PA,40.6,-80.29"
"134944752,Pittsburgh,PA,40.4,-79.97"
"191529746,Pittsburgh,PA,40.45,-79.99"
"101556452,Pittsburgh,PA,40.45,-79.99"
"191490902,Butler,PA,40.86,-79.9"
"142206252,Pittsburgh,PA,40.45,-79.99"
"131931952,Pittsburgh,PA,40.47,-79.92"
"190958390,Pittsburgh,PA,40.47,-80.02"
"134177692,Pittsburgh,PA,40.47,-79.95"
"186627401,Sewickley,PA,40.55,-80.15"
"24177722,Pittsburgh,PA,40.55,-80.04"
"9339681,Pittsburgh,PA,40.47,-79.95"
"191415405,Pittsburgh,PA,40.43,-79.95"
"92275762,Pittsburgh,PA,40.47,-79.95"
"187719373,Pittsburgh,PA,40.44,-79.96"
"14431460,Pittsburgh,PA,40.46,-80.03"
"185407874,Pittsburgh,PA,40.45,-79.99"
"183637314,Cranberry Twp,PA,40.71,-80.11"
"189077086,Pittsburgh,PA,40.47,-79.95"
"8127807,Pittsburgh,PA,40.44,-79.95"
"191284948,Pittsburgh,PA,40.47,-79.95"
"188982899,Pittsburgh,PA,40.4,-79.97"
"134784462,Pittsburgh,PA,40.44,-80.07"
"4718656,Pittsburgh,PA,40.5,-80.07"
"184784219,Pittsburgh,PA,40.38,-80.07"
"33589122,Pittsburgh,PA,40.5,-80.07"
"47213272,Pittsburgh,PA,40.55,-80.04"
"183256363,Pittsburgh,PA,40.45,-79.91"
"185936936,Allison Park,PA,40.57,-79.97"
"6051049,Pittsburgh,PA,40.35,-79.98"
"82928382,Pittsburgh,PA,40.47,-79.95"
"6419039,Pittsburgh,PA,40.44,-79.96"
"15322541,Irwin,PA,40.33,-79.72"
