1, 4100 Forbes Ave.  Pittsburgh,-79.95211,40.443535
2, 1201 Woods Run Ave..  Pittsburgh,-80.030357,40.476238
3, 1918 Murray Avenue.  Pittsburgh,-79.922905,40.435703
4, 612 Smithfield Street.  Pittsburgh,-79.99752,40.44175
5, 4500 Schenley Dr..  Pittsburgh,-79.947199,40.440169
6, 1601 East Carson Street Sky Level.  Pittsburgh,-79.982552,40.428871
7, 4000 Middle Road.  Allison Park,-79.928058,40.569818
8, North Ridge Lane .  Allison Park,-80.006732,40.608727
9, 1937 Murray Ave Pittsburgh Pennsylvania.  Pittsburgh,-79.922806,40.434963
10, 612 Smithfield Street.  Pittsburgh,-79.99752,40.44175
11, 2005 Beechwood Boulevard.  Pittsburgh,-79.909081,40.43597
12, 1 Allegheny Avenue.  Pittsburgh,-80.017593,40.446014
13, 400 Cedar Avenue.  Pittsburgh,-80.000799,40.451826
14, 302 S St Clair St.  Pittsburgh,-79.930554,40.459939
15, 2950 W Liberty Ave  Pittsburgh PA 15216.  Pittsburgh,-80.035957,40.394169
16, 6 Allegheny Sq.  Pittsburgh,-80.006554,40.45224
17, 811 Liberty Aveune 15222.  Pittsburgh,-79.998586,40.4430326
18, 1253 Bushy Run Rd..  Jeanette,-79.623558,40.353489
19, 4000 Middle Road.  Allison Park,-79.928058,40.569818
20, 1557 Broadway Avenue.  Pittsburgh,-80.024681,40.410015
21, Brownsville Rd.  South Park,-80.007857,40.290488
22, 612 Smithfield Street.  Pittsburgh,-79.99752,40.44175
23, 612 Smithfield Street.  Pittsburgh,-79.99752,40.44175
24, 3600 Library Rd.  Pittsburgh,-80.017593,40.365307
25, 40th St.  Pittsburgh,-79.96139,40.46793
26, 320 Sampsonia Way.  Pittsburgh,-80.011147,40.457176
27, McCorkle Road and Brownsville Road.  Pittsburgh,-79.995415,40.302334
28, University of Pittsburgh.  Pittsburgh,-79.959778,40.436726
29, 4500 Schenley Dr..  Pittsburgh,-79.947199,40.440169
30, 1918 Murray Avenue.  Pittsburgh,-79.922905,40.435703
31, 5006 Penn Ave .  Pittsburgh,-79.943771,40.465092
32, 1918 Murray Ave.  Squirrel Hill,-79.922905,40.435703
33, 2795 S Water St.  Pittsburgh,-79.963982,40.428028
34, 612 Smithfield Street.  Pittsburgh,-79.99752,40.44175
35, 1800 Preble & Columbus Ave in the RJ Casey Industrial Park.  Pittsburgh,-80.032295,40.45685
36, 4000 Middle Road.  Allison Park,-79.928058,40.569818
37, 1531 Mayview Rd .  Pittsburgh,-80.110611,40.336674
38, 1000 Ross Municipal Drive.  Pittsburgh,-80.006271,40.516071
39, 4500 Schenley Dr..  Pittsburgh,-79.947199,40.440169
40, 136 Bakery Square Blvd.  Pittsburgh,-79.915154,40.456512
41, 4104 Penn Avenue.  Pittsburgh,-79.95475,40.465668
42, 1 Schenley Park.  Pittsburgh,-79.952049,40.434238
43, 225 Station Square.  Pittsburgh,-80.003711,40.432542
44, 1224 E Carson St. 3rd floor (use 13th st entrance).  Pittsburgh,-79.986038,40.428734
45, 132 Graham Park Dr. Ste. 100 Cranberry Twp. PA 16066.  Cranberry Twp.,-80.1228686,40.6999299
46, 300 Cumberland Road.  Pittsburgh,-80.034645,40.571003
47, 1937 Murray Ave Pittsburgh Pennsylvania.  Pittsburgh,-79.922806,40.434963
48, 1224 E Carson St. 3rd floor (use 13th st entrance).  Pittsburgh,-79.986038,40.428734
49, 824 Brookline Blvd.  Pittsburgh,-80.019531,40.393013
50, 255 E Ohio St.  Pittsburgh,-80.003014,40.453072
51, Route 51.  Rostraver,-79.802686,40.175531
52, 4301 Forbes Ave  .  Pittsburgh,-79.950516,40.444019
53, 40th St.  Pittsburgh,-79.96139,40.46793
54, 1 Riverview Ave.  Pittsburgh,-80.014664,40.484368
55, 130 S Whitfield St.  Pittsburgh,-79.926414,40.460835
56, 802 Brookline Boulevard.  Pittsburgh,-80.020142,40.393463
57, 1601 East Carson Street Sky Level.  Pittsburgh,-79.982552,40.428871
58, 100 Village Club Drive .  Wexford,-80.052842,40.633237
59, 4905 Fifth Avenue.  Pittsburgh,-79.943314,40.44796
60, 1 Riverview Ave.  Pittsburgh,-80.014664,40.484368
61, 3091 Carson Ave. Murrysville 15668.  Pittsburgh,-79.694313,40.425285
62, 811 Liberty Aveune 15222.  Pittsburgh,-79.998586,40.4430326
63, 1 Riverview Ave.  Pittsburgh,-80.014664,40.484368
64, 2950 W Liberty Ave  Pittsburgh PA 15216.  Pittsburgh,-80.035957,40.394169
65, 1599 South Dallas Avenue.  Pittsburgh,-79.907282,40.4418409
66, 4000 Gateway Campus Boulevard.  Monroeville ,-79.752569,40.430062
67, 400 Cedar Avenue.  Pittsburgh,-80.000793,40.451824
68, 612 Smithfield Street.  Pittsburgh,-79.99752,40.44175
69, 555 Morewood Ave.  Pittsburgh,-79.943138,40.451195
70, 1800 Preble & Columbus Ave in the RJ Casey Industrial Park.  Pittsburgh,-80.03286,40.456837
71, 1918 Murray Avenue.  Pittsburgh,-79.922905,40.435703
72, 612 Smithfield Street.  Pittsburgh,-79.99752,40.44175
73, 400 Cedar Avenue.  Pittsburgh,-80.000799,40.451826
74, 4500 Schenley Dr..  Pittsburgh,-79.947199,40.440169
75, 4500 Schenley Dr..  Pittsburgh,-79.947199,40.440169
76, 612 Smithfield Street.  Pittsburgh,-79.99752,40.44175
77, 1531 Mayview Rd .  Pittsburgh,-80.110611,40.336674
78, 1937 Murray Ave Pittsburgh Pennsylvania.  Pittsburgh,-79.922806,40.434963
