219287536,lunch,pm,business
219287562,lunch,pm,business
219537970,please,also,visit
219733207,lunch,pm,business
219803070,event,bring,one
219803078,pm,happy,hour
219935963,university,new,learn
220613499,vegan,raw,free
220705111,lunch,pm,business
220705137,lunch,pm,business
221117719,event,healing,life
221132241,tickets,show,ticket
221197895,lunch,pm,business
221198101,lunch,pm,business
221198157,lunch,pm,business
221198172,lunch,pm,business
221198253,lunch,pm,business
221198272,lunch,pm,business
221714734,concert,music,jazz
221714916,concert,music,jazz
222255004,pm,food,event
222255129,park,august,pm
222255425,pm,happy,hour
222255430,pm,happy,hour
222255439,pm,happy,hour
222380665,park,august,pm
222380693,park,august,pm
222380710,park,august,pm
222380749,park,august,pm
222451253,event,healing,life
222465123,park,august,pm
222465145,park,august,pm
222465191,park,august,pm
222465225,park,august,pm
222466126,event,bring,one
222532456,park,august,pm
222532488,park,august,pm
222532548,park,august,pm
222532646,park,august,pm
222532774,park,august,pm
222532804,park,august,pm
222535082,concert,music,jazz
222573371,park,august,pm
222573399,park,august,pm
222573428,park,august,pm
222573507,park,august,pm
222573514,park,august,pm
222645212,park,august,pm
222695100,lunch,pm,business
222994406,park,august,pm
222995096,pm,food,event
223156052,park,august,pm
223193650,show,tickets,comedy
223271104,session,class,good
223273978,concert,music,jazz
223333453,university,new,learn
223403613,university,new,learn
223527142,show,tickets,comedy
223544536,park,august,pm
223578214,park,august,pm
223586961,university,new,learn
223615163,event,bring,one
223628783,film,black,festival
223644309,album,open,fiction
223656136,park,august,pm
223688079,event,bring,one
223716146,park,august,pm
223716174,games,sign,day
223735600,park,august,pm
223736102,bring,us,join
223745352,park,august,pm
223796745,prizes,free,key
223796747,prizes,free,key
223796750,prizes,free,key
223820065,please,water,river
223847041,prizes,free,key
223889426,event,healing,life
223898098,bring,us,join
223927310,please,water,river
223961887,event,bring,one
224008671,album,open,fiction
224008991,album,open,fiction
224027233,pm,happy,hour
224032167,pm,happy,hour
224037942,concert,music,jazz
224038722,concert,music,jazz
224043472,university,new,learn
224047412,please,also,visit
224054799,pm,happy,hour
224064004,album,open,fiction
224075612,show,tickets,comedy
224075825,show,tickets,comedy
224091986,pm,food,event
224095427,pm,happy,hour
224095996,please,water,river
224105825,please,water,river
224106146,prizes,free,key
224119569,show,tickets,comedy
224130289,bring,us,join
224133624,show,tickets,comedy
224136644,pm,happy,hour
224141871,pm,food,event
224151018,banjo,club,hall
224158317,game,games,field
224165813,meetings,blur,contest
224167603,please,also,visit
224168509,bring,us,join
224168541,bring,us,join
224168575,event,bring,one
224168591,bring,us,join
224168597,bring,us,join
224169313,film,black,festival
224179527,meetings,blur,contest
224183878,game,games,field
224184237,pm,food,event
224185571,please,water,river
224187147,event,bring,one
224187177,park,august,pm
224189981,church,st,mass
224190220,church,st,mass
224204561,amp,ch,intermediate
224205397,amp,ch,intermediate
224207296,game,games,field
