Group ID,Cluster ID
12750,2
23296,2
34277,3
46921,3
54545,3
63757,1
67679,1
115264,2
120090,2
126264,2
160858,2
161143,1
163684,3
166277,2
171952,3
216157,3
216199,2
220231,2
221930,2
234370,3
240153,3
305592,2
341910,2
342781,1
347566,1
355706,1
362261,1
364389,1
469229,1
476983,1
480494,1
489306,3
504817,1
510900,3
525471,2
525665,2
527589,2
529693,2
536305,1
556378,1
601613,1
610745,1
641217,1
671810,2
680089,3
754177,2
771425,3
780059,3
783965,2
829741,3
937363,1
970888,3
977618,1
990927,1
1000549,1
1010418,3
1041517,1
1043275,3
1087338,2
1099209,1
1194934,2
1204261,2
1259215,2
1280330,2
1286602,3
1286975,3
1290421,2
1303423,3
1307283,3
1309710,1
1330116,1
1360065,2
1362594,1
1368799,2
1374414,3
1387740,2
1395628,3
1409782,2
1430295,2
1434679,2
1447265,3
1479083,2
1482026,3
1482524,1
1483174,3
1483293,2
1486623,2
1487001,2
1488852,3
1489999,3
1504062,3
1508654,2
1508717,3
1527439,3
1543672,1
1548697,1
1563498,1
1566648,3
1569746,1
1583647,1
1595201,2
1600898,3
1602648,1
1611931,1
1618441,1
1622032,3
1628848,1
1634459,1
1635876,1
1639607,1
1641342,1
1653439,3
1655000,2
1657414,3
1657647,3
1673776,1
1679859,1
1684946,1
1689470,2
1690451,3
1694643,1
1697038,1
1697856,3
1707185,3
1707494,2
1707582,1
1712980,1
1716109,2
1721628,3
1724447,2
1729130,1
1730215,1
1735818,3
1738990,3
1741675,1
1744356,3
1755724,2
1757862,2
1769232,1
1772630,3
1773601,2
1777768,3
1778715,1
1782507,3
1789201,2
1789387,1
1792094,2
1792728,3
1797356,3
1802842,2
1804196,1
1827921,2
1853161,1
1897481,1
1919681,3
2026551,3
2033811,2
2062961,2
2063681,2
2089951,1
2150751,3
2232211,2
2327581,2
2368711,3
2386191,3
2500372,1
2519472,2
2523962,3
2586832,1
2590362,2
2616692,3
2775772,1
2878782,3
2949062,1
2956902,1
3023872,1
3037742,3
3042672,1
3068792,1
3113012,1
3155802,3
3206442,3
3267012,1
3296462,1
3345512,3
3357142,1
3369232,1
3408932,1
3446832,3
3479352,1
3504492,2
3542002,3
3572332,3
3600592,2
3604332,1
3609802,2
3684172,1
3684512,2
3695742,1
3703512,2
3755892,1
3846562,3
3912602,3
3925412,3
3946742,2
4057692,3
4076802,2
4092962,3
4119962,2
4145332,1
4180172,3
4203812,2
4206742,3
4287422,3
4292722,1
4329562,2
4349342,3
4396132,3
4413292,3
4418302,3
4467372,3
4484112,3
4487662,1
4491732,3
4511032,1
4515502,2
4573252,1
4620922,1
4646112,3
4652422,1
4695982,3
4731942,1
4791802,1
4831692,1
4927242,1
4954982,1
4961322,2
4975172,3
5009622,3
5097352,2
5193572,3
5199112,3
5199772,3
5364102,3
5409682,3
5473832,3
5505652,3
5764082,3
5954122,1
6008622,2
6133872,2
6167822,3
6195792,2
6244292,2
6326812,3
6432042,1
6444352,0
6520362,3
6555302,2
6595802,2
6682212,1
6728742,3
6779432,1
6801922,3
6861652,1
6913562,2
6937072,1
6942172,3
7172862,3
7198462,1
7222872,2
7230492,2
7236412,3
7292242,3
7328402,0
7379072,3
7431112,3
7467372,3
7554772,1
7633932,3
7747472,3
7748062,2
7846652,2
7924392,1
7939672,0
7980322,0
8044432,2
8267012,1
8323892,1
8583292,3
8640582,3
8654442,2
8720762,1
8736892,0
8915302,3
9020342,1
9036002,1
9192122,1
9211052,3
9332282,3
9399692,3
9403172,3
9407482,3
9441482,3
9497262,2
9499332,1
9726402,3
9738612,3
9822922,1
9865892,3
9975902,1
10021062,2
10058952,3
10149152,1
10188812,3
10198952,3
10200022,2
10235192,3
10236952,3
10237332,1
10310672,1
10458782,1
10497212,1
10524092,2
10542312,1
10574062,3
10588512,1
10620982,2
10622512,2
10641542,3
10753532,3
10762962,1
10987832,1
11007622,3
11058512,1
11091822,2
11127312,2
11221382,3
11264562,3
11334532,3
11341802,3
11365022,1
11428542,1
11454712,3
11458132,1
11461952,2
11492592,3
11501142,3
11511512,3
11625842,3
11675792,1
12027842,3
12058222,3
12140542,1
12202972,3
12273832,3
12333652,1
12446372,2
12513372,1
12574592,2
12725352,3
12854102,1
12887112,2
12976052,2
13049162,3
13058532,1
13070392,3
13087212,3
13172002,1
13173132,1
13174702,3
13201342,1
13231382,3
13234942,1
13290212,3
13304312,1
13309992,3
13443812,3
13454522,3
13527772,3
13530102,1
13531822,3
13556002,1
13556942,3
13561482,3
13595702,3
13649552,1
13651182,3
13685862,1
13706632,0
13731182,1
13733472,1
13880932,2
13896252,3
13951372,3
13979272,1
13980862,2
13996962,1
14022602,2
14028002,3
14038212,3
14303552,3
14330332,3
14337072,3
14380472,3
14473692,2
14478662,3
14556582,2
14638302,0
14703772,0
14708292,3
14740262,3
14860452,2
14884892,2
14940442,2
15085882,3
15264472,2
15290542,3
15305792,3
15481012,3
15497222,1
15587782,3
15760472,2
15850392,3
15877782,3
15883372,1
15911442,1
15923322,1
15968882,0
15973912,1
15988082,1
16121932,2
16211202,0
16261092,3
16320952,3
16372472,1
16393702,2
16489602,1
16508482,3
16566822,3
16600962,1
16621912,2
16622802,2
16674222,3
16726372,3
16730162,3
16773082,3
16791672,3
16853072,3
16854752,1
16856522,2
16920752,3
17034522,3
17060032,0
17072672,3
17095982,3
17110322,3
17120502,1
17141442,3
17176312,2
17217782,3
17224062,3
17224522,0
17273482,3
17316882,0
17364432,1
17394792,2
17417312,3
17421022,3
17441932,0
17473602,3
17502272,0
17531112,2
17539532,0
17589012,3
17616052,1
17623432,3
17640062,1
17721202,2
17731992,3
17798552,2
17812632,2
17815332,3
17841822,3
17841902,0
17857582,3
17874762,3
17909102,1
17917962,3
17925552,1
17963202,2
17977572,1
18092562,1
18100142,3
18170222,0
18182658,1
18183973,3
18190242,0
18195383,0
18198676,0
18198851,3
18200874,1
18200941,0
18202921,3
18205079,2
18217750,1
18221393,1
18224176,3
18224411,2
18231799,3
18241306,3
18241699,3
18246118,0
18249006,3
18257037,1
18259026,3
18261987,2
18274547,3
18276500,1
18287404,3
18288593,0
18288613,2
18291900,3
18293435,3
18300448,0
18313791,3
18314090,2
18322979,3
18326310,1
18326673,3
18334650,3
18334943,3
18350080,2
18350712,3
18358343,3
18360068,2
18369081,3
18369879,0
18371371,3
18375036,3
18377925,1
18381821,2
18387453,3
18389060,3
18390617,3
18395971,3
18396969,1
18398926,1
18402474,1
18403420,3
18413629,0
18414330,0
18418997,0
18419841,3
18420674,3
18428258,0
18431278,0
18433207,3
18437214,0
18441526,0
18441934,3
18444061,0
18446786,3
18451442,3
18452631,3
18452705,3
18458052,3
18458279,0
18458307,3
18467089,0
18468114,3
18470297,3
18471820,3
18479934,3
18482431,1
18484066,0
18491267,0
18494165,0
18501613,0
18507197,2
18507491,2
18509664,3
18510087,3
18515333,0
18520618,0
18521735,3
18521891,0
18522836,3
18524724,3
18525065,0
18526756,1
18527085,3
18527681,3
18530857,3
18531797,3
18533122,1
18535230,0
18535249,2
18535506,1
18535847,0
18541256,0
18541471,3
18542786,0
18542800,3
18542857,3
18550640,3
18551150,3
18551653,2
18552533,3
18552569,1
18552999,1
18554305,1
18555642,3
18563395,3
18564659,2
18564809,0
18566459,0
18567155,2
18567410,3
18567733,3
18567867,1
18573562,1
18578143,1
18588282,3
18589653,0
18590449,0
18593818,0
18603873,0
18604047,0
18605005,3
18608972,3
18609769,0
18610742,1
18612935,0
18615602,0
18618124,2
18627412,3
18631483,0
18639521,3
18641651,2
18642227,1
18646501,0
18649465,3
18656513,3
18656681,3
18657497,0
18668027,1
18670516,0
18675006,1
18676782,2
18678041,2
18684682,0
18685310,0
18686752,1
18686926,0
18688644,0
18690754,0
18701629,1
18701729,3
18705090,3
18706620,0
18707889,0
18708607,0
18709803,0
18710892,0
18719110,3
18719396,3
18721703,0
18731111,2
18732323,2
18734785,1
18738586,0
18741561,3
18744121,3
18746323,0
18749857,0
18750631,0
18750854,0
18753018,3
18753226,0
18754906,3
18760307,0
18764803,0
18766627,1
18772897,1
18773649,3
18775520,3
18780377,0
18782401,0
18782586,0
18784471,0
18785976,0
18786434,0
18788708,0
18789281,0
18797819,0
18799074,1
18810482,0
18814691,0
18817272,0
18819795,1
18820285,0
18827905,0
18829219,3
18829358,0
18830916,0
18831276,0
18832735,0
18832751,0
18835388,3
18835411,0
18838558,0
18838784,0
18838988,0
18841499,0
18850011,0
18850133,0
18852345,0
18852531,0
18855374,0
18856493,0
18857106,0
18857796,0
18858215,0
18861499,0
18863220,0
18864876,0
18867355,0
18867973,0
18872013,0
18873501,0
18878471,0
18880682,3
18881971,0
18882920,0
18885760,0
18889041,0
18889111,0
18889961,0
18890613,0
18894450,3
18895616,3
18895741,3
18901477,3
18906003,0
18907335,0
18928275,2
18930232,0
18930678,0
18930965,3
18931302,0
18931363,0
18932182,3
18932742,3
18934162,0
18941755,3
18944650,0
18950101,3
18950489,3
18953950,0
18955077,3
18955289,3
18957120,3
18957208,3
18957684,0
18960294,0
18961113,0
18961216,3
18962004,0
18964079,0
18966657,3
18976267,3
18977159,0
18977295,0
18977602,3
18978105,0
18983613,3
18983831,0
18991616,0
18992514,3
18993260,3
18997837,0
18998113,3
19002984,0
19011634,3
19014756,3
19019470,0
19021466,3
19024732,0
19024925,0
19028900,0
19032509,0
19046197,0
19046511,3
19050975,3
19052010,0
19059144,0
19060151,0
19062657,3
19065972,0
19066892,0
